0x0 	__le32 	s_inodes_count 	Total inode count.
e2fsck’s requirements are more strict; if it doesn’t know about a feature in either the compatible or incompatible feature set, it must abort and not try to meddle with things it doesn’t understand…
0x54 	__le32 	s_first_ino 	First non-reserved inode.
0x58 	__le16 	s_inode_size 	Size of inode structure, in bytes.
0x5A 	__le16 	s_block_group_nr 	Block group # of this superblock.
0x5C 	__le32 	s_feature_compat 	Compatible feature set flags. Kernel can still read/write this fs even if it doesn’t understand a flag; fsck should not do that. See the super_compat table for more info.
0x60 	__le32 	s_feature_incompat 	Incompatible feature set. If the kernel or fsck doesn’t understand one of these bits, it should stop. See the super_incompat table for more info.
0x64 	__le32 	s_feature_ro_compat 	Readonly-compatible feature set. If the kernel doesn’t understand one of these bits, it can still mount read-only. See the super_rocompat table for more info.
0x68 	__u8 	s_uuid[16] 	128-bit UUID for volume.
0x78 	char 	s_volume_name[16] 	Volume label.
0x88 	char 	s_last_mounted[64] 	Directory where filesystem was last mounted.
0xC8 	__le32 	s_algorithm_usage_bitmap 	For compression (Not used in e2fsprogs/Linux)
  	  	  	Performance hints. Directory preallocation should only happen if the EXT4_FEATURE_COMPAT_DIR_PREALLOC flag is on.
0xCC 	__u8 	s_prealloc_blocks 	#. of blocks to try to preallocate for … files? (Not used in e2fsprogs/Linux)
0xCD 	__u8 	s_prealloc_dir_blocks 	#. of blocks to preallocate for directories. (Not used in e2fsprogs/Linux)
0xCE 	__le16 	s_reserved_gdt_blocks 	Number of reserved GDT entries for future filesystem expansion.
  	  	  	Journalling support is valid only if EXT4_FEATURE_COMPAT_HAS_JOURNAL is set.
0xD0 	__u8 	s_journal_uuid[16] 	UUID of journal superblock
0xE0 	__le32 	s_journal_inum 	inode number of journal file.
0xE4 	__le32 	s_journal_dev 	Device number of journal file, if the external journal feature flag is set.
0xE8 	__le32 	s_last_orphan 	Start of list of orphaned inodes to delete.
0xEC 	__le32 	s_hash_seed[4] 	HTREE hash seed.
0xFC 	__u8 	s_def_hash_version 	Default hash algorithm to use for directory hashes. See super_def_hash for more info.
0xFD 	__u8 	s_jnl_backup_type 	If this value is 0 or EXT3_JNL_BACKUP_BLOCKS (1), then the s_jnl_blocks field contains a duplicate copy of the inode’s i_block[] array and i_size.
0xFE 	__le16 	s_desc_size 	Size of group descriptors, in bytes, if the 64bit incompat feature flag is set.
0x100 	__le32 	s_default_mount_opts 	Default mount options. See the super_mountopts table for more info.
0x104 	__le32 	s_first_meta_bg 	First metablock block group, if the meta_bg feature is enabled.
0x108 	__le32 	s_mkfs_time 	When the filesystem was created, in seconds since the epoch.
0x10C 	__le32 	s_jnl_blocks[17] 	Backup copy of the journal inode’s i_block[] array in the first 15 elements and i_size_high and i_size in the 16th and 17th elements, respectively.
  	  	  	64bit support is valid only if EXT4_FEATURE_COMPAT_64BIT is set.
0x150 	__le32 	s_blocks_count_hi 	High 32-bits of the block count.
0x154 	__le32 	s_r_blocks_count_hi 	High 32-bits of the reserved block count.
0x158 	__le32 	s_free_blocks_count_hi 	High 32-bits of the free block count.
0x15C 	__le16 	s_min_extra_isize 	All inodes have at least # bytes.
0x15E 	__le16 	s_want_extra_isize 	New inodes should reserve # bytes.
0x160 	__le32 	s_flags 	Miscellaneous flags. See the super_flags table for more info.
0x164 	__le16 	s_raid_stride 	RAID stride. This is the number of logical blocks read from or written to the disk before moving to the next disk. This affects the placement of filesystem metadata, which will hopefully make RAID storage faster.
0x166 	__le16 	s_mmp_interval 	#. seconds to wait in multi-mount prevention (MMP) checking. In theory, MMP is a mechanism to record in the superblock which host and device have mounted the filesystem, in order to prevent multiple mounts. This feature does not seem to be implemented…
0x168 	__le64 	s_mmp_block 	Block # for multi-mount protection data.
0x170 	__le32 	s_raid_stripe_width 	RAID stripe width. This is the number of logical blocks read from or written to the disk before coming back to the current disk. This is used by the block allocator to try to reduce the number of read-modify-write operations in a RAID5/6.
0x174 	__u8 	s_log_groups_per_flex 	Size of a flexible block group is 2 ^ s_log_groups_per_flex.
0x175 	__u8 	s_checksum_type 	Metadata checksum algorithm type. The only valid value is 1 (crc32c).
0x176 	__le16 	s_reserved_pad 	 
0x178 	__le64 	s_kbytes_written 	Number of KiB written to this filesystem over its lifetime.
0x180 	__le32 	s_snapshot_inum 	inode number of active snapshot. (Not used in e2fsprogs/Linux.)
0x184 	__le32 	s_snapshot_id 	Sequential ID of active snapshot. (Not used in e2fsprogs/Linux.)
0x188 	__le64 	s_snapshot_r_blocks_count 	Number of blocks reserved for active snapshot’s future use. (Not used in e2fsprogs/Linux.)
0x190 	__le32 	s_snapshot_list 	inode number of the head of the on-disk snapshot list. (Not used in e2fsprogs/Linux.)
0x194 	__le32 	s_error_count 	Number of errors seen.
0x198 	__le32 	s_first_error_time 	First time an error happened, in seconds since the epoch.
0x19C 	__le32 	s_first_error_ino 	inode involved in first error.
0x1A0 	__le64 	s_first_error_block 	Number of block involved of first error.
0x1A8 	__u8 	s_first_error_func[32] 	Name of function where the error happened.
0x1C8 	__le32 	s_first_error_line 	Line number where error happened.
0x1CC 	__le32 	s_last_error_time 	Time of most recent error, in seconds since the epoch.
0x1D0 	__le32 	s_last_error_ino 	inode involved in most recent error.
0x1D4 	__le32 	s_last_error_line 	Line number where most recent error happened.
0x1D8 	__le64 	s_last_error_block 	Number of block involved in most recent error.
0x1E0 	__u8 	s_last_error_func[32] 	Name of function where the most recent error happened.
0x200 	__u8 	s_mount_opts[64] 	ASCIIZ string of mount options.
0x240 	__le32 	s_usr_quota_inum 	Inode number of user quota file.
0x244 	__le32 	s_grp_quota_inum 	Inode number of group quota file.
0x248 	__le32 	s_overhead_blocks 	Overhead blocks/clusters in fs. (Huh? This field is always zero, which means that the kernel calculates it dynamically.)
0x24C 	__le32 	s_backup_bgs[2] 	Block groups containing superblock backups (if sparse_super2)
0x254 	__u8 	s_encrypt_algos[4] 	Encryption algorithms in use. There can be up to four algorithms in use at any time; valid algorithm codes are given in the super_encrypt table below.
0x258 	__u8 	s_encrypt_pw_salt[16] 	Salt for the string2key algorithm for encryption.
0x268 	__le32 	s_lpf_ino 	Inode number of lost+found
0x26C 	__le32 	s_prj_quota_inum 	Inode that tracks project quotas.
0x270 	__le32 	s_checksum_seed 	Checksum seed used for metadata_csum calculations. This value is crc32c(~0, $orig_fs_uuid).
0x274 	__u8 	s_wtime_hi 	Upper 8 bits of the s_wtime field.
0x275 	__u8 	s_mtime_hi 	Upper 8 bits of the s_mtime field.
0x276 	__u8 	s_mkfs_time_hi 	Upper 8 bits of the s_mkfs_time field.
0x277 	__u8 	s_lastcheck_hi 	Upper 8 bits of the s_lastcheck_hi field.
0x278 	__u8 	s_first_error_time_hi 	Upper 8 bits of the s_first_error_time_hi field.
0x279 	__u8 	s_last_error_time_hi 	Upper 8 bits of the s_last_error_time_hi field.
0x27A 	__u8 	s_pad[2] 	Zero padding.
0x27C 	__le16 	s_encoding 	Filename charset encoding.
0x27E 	__le16 	s_encoding_flags 	Filename charset encoding flags.
0x280 	__le32 	s_reserved[95] 	Padding to the end of the block.
0x3FC 	__le32 	s_checksum 	Superblock checksum.
